A,B,C
ст,7173707,2.5950640841871437
то,6718190,2.430282360256033
но,6436135,2.3282499242692545
на,5928622,2.1446588243598117
по,5212731,1.885687692378422
ен,5189907,1.8774311880832943
ни,5157969,1.8658777253170051
ко,5117773,1.851336959165281
ра,5048021,1.8261044106376896
ов,4901938,1.7732593827308751
не,4805426,1.7383464953083656
ро,4714358,1.7054029563516233
пр,4179260,1.5118330766059949
ал,4122610,1.4913401319723205
го,4087992,1.4788171883301575
ре,3989734,1.443272691351948
ос,3966047,1.4347039997449254
ли,3866502,1.3986939348983392
ка,3753269,1.3577322826528873
во,3679002,1.3308664482467252
ер,3638393,1.3161762807510697
та,3636025,1.3153196648129843
от,3510602,1.2699483215686889
ва,3485014,1.2606919496836677
ор,3415027,1.2353743907061396
ол,3375143,1.2209464894922037
ет,3307969,1.1966465236877477
те,3288502,1.1896044027136305
ом,3209060,1.1608665296758838
ан,3170297,1.1468441463954757
ел,3106510,1.1237694163098944
од,3090910,1.11812616942048
ть,3036424,1.0984160444194142
ла,2960226,1.0708516773373893
он,2942617,1.0644816815376652
ле,2925023,1.0581171119368733
ло,2912925,1.0537407016248135
ес,2878245,1.0411953296937309
ат,2864282,1.0361442619811096
ри,2820329,1.020244413870185
ль,2819650,1.0199987879318573
де,2799748,1.0127993071887083
ог,2773312,1.0032361741907239
ве,2745369,0.9931278890733584
ны,2714057,0.9818008796758365
ти,2688091,0.9724077675777256
за,2670888,0.9661846408957644
ит,2612768,0.9451599287667415
ск,2586828,0.9357762220801129
да,2555297,0.924369990178182
ак,2444401,0.884253739726356
ой,2431895,0.8797297368033422
ин,2384696,0.8626556592435047
ме,2346193,0.8487273300779202
ем,2338387,0.8459035361536402
ил,2335238,0.8447643961244886
че,2268576,0.8206496445769159
об,2221408,0.8035867811615381
ас,2213300,0.8006537397654246
до,2157311,0.7803999096313595
мо,2122362,0.7677572278660941
ки,2061205,0.7456338913266127
тр,2017218,0.7297217438314418
ся,2001670,0.7240973077649924
ед,1935815,0.7002744857199681
со,1915082,0.6927743935559793
ми,1914722,0.6926441647816082
нн,1897247,0.6863226430256778
се,1889506,0.6835223626301037
ам,1870040,0.676480603402582
ис,1862616,0.6737949966777735
ав,1850439,0.6693900083846711
же,1821313,0.6588537770448583
аз,1810274,0.6548604563774068
ма,1765557,0.6386842338675389
им,1749666,0.6329357187188412
тв,1717885,0.6214390501680416
ар,1698166,0.6143057690518646
ви,1687298,0.6103743070522394
ие,1610394,0.5825545468738089
ру,1583604,0.5728633555810263
бо,1517618,0.5489931447319949
сл,1503147,0.5437583097488722
из,1494881,0.5407681123906736
вы,1491179,0.539428926494224
ди,1488226,0.5383606887977855
бы,1470406,0.5319143644664162
ия,1447234,0.5235319723560632
ик,1437934,0.5201677290181431
ег,1408718,0.5095989404847374
пе,1401258,0.5069003108824919
ив,1340779,0.4850222385347428
чт,1330584,0.4813342319938724
вс,1325448,0.47947630147951137
ей,1321751,0.47813892431603927
сь,1228030,0.44423567164150113
ок,1214259,0.4392540592752111
ьн,1185471,0.4288400982846689
ое,1160543,0.41982247915266124
ну,1156929,0.41851512695661364
